index,name,u,v,z_norm,x_norm,y_norm
0,center.lips.upper.outer,521.4658355712891,253.219193816185,-0.03709486871957779,0.5431935787200928,0.4689244329929352
1,,475.9691619873047,254.93384957313538,-0.06810952723026276,0.4958012104034424,0.4720997214317322
2,center.nose.attachment_to_philtrum,489.13129806518555,254.60065484046936,-0.035536639392375946,0.5095117688179016,0.47148269414901733
3,,431.53733253479004,267.08287239074707,-0.050933483988046646,0.4495180547237396,0.4945979118347168
4,center.nose.tip,462.43815422058105,255.48602521419525,-0.07251542061567307,0.4817064106464386,0.4731222689151764
5,,444.39929008483887,256.2027060985565,-0.06751859188079834,0.46291592717170715,0.4744494557380676
6,,400.0477123260498,257.79872238636017,-0.03367185965180397,0.4167163670063019,0.47740504145622253
7,,398.8102912902832,344.0672707557678,0.019352849572896957,0.41542738676071167,0.6371616125106812
8,,367.4124240875244,259.38896119594574,-0.026083067059516907,0.38272127509117126,0.48034992814064026
9,,349.7006034851074,260.2154463529587,-0.028867434710264206,0.36427146196365356,0.48188045620918274
10,center.front.trichion,285.26132583618164,263.19660902023315,-0.015059380792081356,0.2971472144126892,0.4874011278152466
11,,527.4180221557617,252.70549714565277,-0.03540822118520737,0.5493937730789185,0.46797314286231995
12,,533.954029083252,252.209712266922,-0.030825816094875336,0.5562021136283875,0.4670550227165222
13,center.lips.upper.inner,538.5662841796875,251.76281869411469,-0.023581335321068764,0.5610065460205078,0.4662274420261383
14,center.lips.lower.inner,539.8269653320312,251.75823211669922,-0.02143998071551323,0.5623197555541992,0.4662189483642578
15,,546.4652824401855,251.21984839439392,-0.021987751126289368,0.5692346692085266,0.46522194147109985
16,,554.4998931884766,250.62714993953705,-0.02405470237135887,0.5776040554046631,0.4641243517398834
17,center.lips.lower.outer,562.8360557556152,249.96856570243835,-0.02115999348461628,0.5862875580787659,0.46290475130081177
18,,579.3077659606934,252.06255555152893,-0.007553278934210539,0.6034455895423889,0.46678251028060913
19,,482.7366256713867,254.63305056095123,-0.06156274303793907,0.5028506517410278,0.47154268622398376
20,,482.83058166503906,266.066535115242,-0.04368332773447037,0.502948522567749,0.4927158057689667
21,,349.9884223937988,391.5129840373993,0.08141060173511505,0.3645712733268738,0.7250240445137024
22,,406.48658752441406,311.8645405769348,0.005351162515580654,0.42342352867126465,0.5775269269943237
23,,408.7859916687012,323.325480222702,0.00646093487739563,0.4258187413215637,0.5987508893013
24,,409.4395637512207,334.5408046245575,0.010267864912748337,0.42649954557418823,0.6195200085639954
25,,403.86013984680176,349.46794152259827,0.02141299471259117,0.42068764567375183,0.6471628546714783
26,,402.5909614562988,301.9718885421753,0.006143790669739246,0.4193655848503113,0.5592072010040283
27,,375.0685214996338,331.0564863681793,0.00046659031067974865,0.39069637656211853,0.6130675673484802
28,,375.32466888427734,317.6116347312927,0.00013664658763445914,0.39096319675445557,0.5881696939468384
29,,377.74864196777344,343.287810087204,0.004936328157782555,0.39348816871643066,0.6357181668281555
30,,382.7262496948242,351.0645532608032,0.010520938783884048,0.3986731767654419,0.6501195430755615
31,,412.41820335388184,359.889417886734,0.027871007099747658,0.4296022951602936,0.6664618849754333
32,,595.0313186645508,295.54842710494995,0.007768456358462572,0.6198242902755737,0.5473119020462036
33,left.eye.corner_outer,396.47106170654297,348.5583508014679,0.023500774055719376,0.4129906892776489,0.6454784274101257
34,,406.7186450958252,393.4254741668701,0.08634985983371735,0.42366525530815125,0.7285656929016113
35,,403.3406639099121,374.04691100120544,0.041167642921209335,0.42014652490615845,0.6926794648170471
36,,466.90589904785156,314.2742156982422,-0.005775191355496645,0.4863603115081787,0.5819892883300781
37,left.lips.philtrum_ridge,519.5078659057617,265.8685237169266,-0.03455344960093498,0.5411540269851685,0.49234911799430847
38,,534.7167778015137,262.95636892318726,-0.028381815180182457,0.5569966435432434,0.48695623874664307
39,,527.2949981689453,277.4788248538971,-0.026540769264101982,0.5492656230926514,0.513849675655365
40,,534.715633392334,284.4686722755432,-0.01730583794414997,0.5569954514503479,0.5267938375473022
41,,537.0212745666504,271.96958899497986,-0.02318568155169487,0.5593971610069275,0.5036473870277405
42,,539.9803161621094,278.8318169116974,-0.014708385802805424,0.5624794960021973,0.5163552165031433
43,,556.585750579834,304.1805911064148,0.0035786512307822704,0.5797768235206604,0.5632973909378052
44,,475.84619522094727,265.1134121417999,-0.06670980900526047,0.49567312002182007,0.4909507632255554
45,,463.03470611572266,267.59454131126404,-0.07068563252687454,0.48232781887054443,0.4955454468727112
46,,371.60985946655273,369.41266536712646,0.014777185395359993,0.38709360361099243,0.6840975284576416
