frame,status,expression_0,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29
12,tracked,-0.2291116623,0.5160187085,0.06995274309,-0.06390562413,0.01562392467,0.3203398984,-0.1505098342,0.04441470825,-0.2047215923,0.13484075,-0.009527127754,0.2493883837,0.1828839822,0.5187543965,0.1556376788,0.09974431201,-0.07368775364,0.0317510321,0.1877222938,0.1416995187,0.01126439683,-0.09915404315,0.2290057312,-0.1259747384,0.1316553906,0.01189481962,-0.04768683622,-0.05961434324,-0.009023649957,0.0283430395
13,tracked,-0.2383942968,0.5157904428,0.07173119166,-0.06257401968,0.01566787056,0.3160869219,-0.1471850868,0.05210405556,-0.1892267371,0.129761246,-0.01209880359,0.2312396297,0.1766391769,0.4904187162,0.1444946175,0.09769980398,-0.06375936769,0.03114658318,0.1794555704,0.1329191077,0.0117064801,-0.09605116945,0.2126307502,-0.1171477129,0.1243901392,0.01250899017,-0.04359340934,-0.05486992375,-0.01064063259,0.02458774022
14,tracked,-0.2462768014,0.5177191926,0.07353598042,-0.06112148858,0.0157464534,0.3121483237,-0.144347883,0.05950540868,-0.1749880467,0.1258890187,-0.01431687491,0.2140737859,0.1708616254,0.4639948072,0.1345480566,0.09578503569,-0.05407204725,0.03042023151,0.171479445,0.1247222212,0.01211070278,-0.09309469195,0.1975122157,-0.109195887,0.1175485937,0.01308304798,-0.03976942921,-0.05041568144,-0.01228381012,0.0210604304
15,tracked,-0.2503139916,0.5192714372,0.07551797451,-0.06001035099,0.0169700635,0.3079776029,-0.1417745346,0.06552810935,-0.1621169006,0.1221375911,-0.01611683736,0.1983767752,0.1660608491,0.4398274199,0.1255705944,0.09377415264,-0.045223658,0.03001483079,0.1640959784,0.1172555511,0.01213434757,-0.09037968328,0.183431571,-0.1013772863,0.1112167789,0.01399113045,-0.03617874604,-0.04630364842,-0.01357267057,0.01815325226
16,tracked,-0.2582272897,0.5220660255,0.07690555694,-0.05830671367,0.01794432779,0.3041865738,-0.1411435245,0.07067252444,-0.1499236234,0.1181584038,-0.01852650805,0.1836906766,0.1613316077,0.4176957549,0.1171137745,0.09191933419,-0.03677750199,0.02955689027,0.1568587242,0.1104736044,0.01197129697,-0.0882453192,0.1698919082,-0.09420630621,0.1054306412,0.01469684175,-0.03270778018,-0.04225435009,-0.01508996644,0.01497343773
17,tracked,-0.2681585363,0.5261377076,0.07824730742,-0.05658795104,0.0182550794,0.30144929,-0.140756191,0.07611550241,-0.1386724113,0.114681902,-0.02086502557,0.1700596451,0.1565767238,0.3973690941,0.1093726121,0.09033324345,-0.02890230697,0.02905018608,0.1503958651,0.1039722406,0.0119259179,-0.08618891163,0.1573890535,-0.08746739087,0.1003322688,0.01517423665,-0.02957529619,-0.03827402578,-0.01651088779,0.01190307438
18,tracked,-0.2839442643,0.5315725454,0.07915782919,-0.05464875985,0.01766060065,0.2991663152,-0.1385295842,0.08329768067,-0.1279066421,0.111285396,-0.02319816729,0.1569200417,0.1520690502,0.3779426205,0.101738994,0.08916482549,-0.02101826023,0.02824580682,0.1452108734,0.09761915727,0.01263222786,-0.08353669124,0.146251061,-0.0813420986,0.09593695911,0.01496191713,-0.02664369139,-0.03469170945,-0.01785315732,0.00894907806
19,tracked,-0.2979220909,0.5362892845,0.0796890134,-0.05282512481,0.01723123288,0.2964394406,-0.1369905772,0.08919429788,-0.1179980882,0.1080217552,-0.02553883359,0.1443600736,0.1476060441,0.3597337464,0.09509348641,0.08831392469,-0.01359628981,0.02780328494,0.1399629233,0.09167233392,0.01329461526,-0.08095837175,0.1364850655,-0.07599225928,0.09151829583,0.01507819357,-0.02364662459,-0.03161287547,-0.01918523245,0.006071843869
20,tracked,-0.313223796,0.5415794894,0.07981614102,-0.05139212663,0.01662878313,0.2931948577,-0.1356676244,0.09355100233,-0.1097731595,0.1052338959,-0.02823575289,0.1342782715,0.1439208405,0.3438346224,0.08870667812,0.08776154157,-0.007089638119,0.02772131507,0.1351454747,0.08612241595,0.01322124514,-0.07804784264,0.1280743856,-0.07032322644,0.08716623108,0.01600224724,-0.02083882203,-0.0288662416,-0.02023683185,0.004382839252
21,tracked,-0.3301313604,0.5469162505,0.07972303012,-0.05021565953,0.01586678413,0.2899906311,-0.134131886,0.09751736253,-0.1020604484,0.1022904081,-0.03083736249,0.1254339798,0.1407954723,0.3290525921,0.08252072892,0.08743049629,-0.001106647842,0.02756467499,0.1310840721,0.08105737698,0.01316432659,-0.07541076925,0.1204502638,-0.06495777953,0.08331186885,0.01687797822,-0.01810844177,-0.02640756771,-0.02143763365,0.00294017057
22,tracked,-0.3435677037,0.5517401909,0.08020329866,-0.04968283399,0.01555552912,0.2874789952,-0.1322899522,0.1015679318,-0.09485023314,0.1001517546,-0.03326454268,0.1171664951,0.1382877388,0.3155091286,0.07660407401,0.0869409869,0.004326044769,0.02726000288,0.1274147179,0.07616508261,0.01309189742,-0.07320062387,0.1127958425,-0.0596076349,0.0797688846,0.01753327536,-0.01584700683,-0.02399682827,-0.022295589,0.001709463524
23,tracked,-0.3558953094,0.555946833,0.08043696386,-0.04906270035,0.01578774976,0.2846160505,-0.1319256712,0.1042450584,-0.08801364603,0.09749720728,-0.03565516889,0.1095565994,0.1358696092,0.3031472278,0.07126039694,0.08638967819,0.009303152885,0.0270703757,0.1235048586,0.07173058451,0.01280901734,-0.07178988283,0.1055318448,-0.05484575523,0.07629692654,0.01818729886,-0.01347978919,-0.02181538095,-0.02312450584,-2.261683892e-05
24,tracked,-0.3628660845,0.5587969703,0.08107483808,-0.04866213653,0.01658802493,0.2818465574,-0.1306270584,0.1070492855,-0.08181471521,0.09555788431,-0.03745665553,0.1021552038,0.1334880616,0.2916103782,0.06673083711,0.08559573478,0.01370941484,0.02693624588,0.1200533688,0.06760218415,0.01245185204,-0.07040392398,0.09876259248,-0.05008348847,0.07320735585,0.01878393913,-0.01153794355,-0.01949645166,-0.02340356062,-0.001390581403
25,tracked,-0.3730528027,0.5625145321,0.08139555681,-0.0478888189,0.01657961335,0.2799028217,-0.1299490948,0.1100016723,-0.0760901786,0.09358031939,-0.03921936613,0.09562931421,0.1312842843,0.2810438094,0.06203276507,0.08500631192,0.01794004581,0.02658460663,0.1169779093,0.06376057982,0.01209383128,-0.06904017462,0.09227177089,-0.04581643167,0.0703707633,0.01912976797,-0.009710579331,-0.01749516472,-0.02394524066,-0.002719370935
26,tracked,-0.3824148137,0.5654396683,0.08118061723,-0.04634699486,0.01623424378,0.2778993183,-0.1291657692,0.1127601646,-0.07128370254,0.09140808886,-0.04038177969,0.0896452148,0.1288140008,0.2711719712,0.05806809886,0.08436791196,0.02194407297,0.02650397268,0.1141627993,0.06037128055,0.01163056335,-0.06699888572,0.08729487233,-0.04210416542,0.06770734539,0.01975400116,-0.00787148987,-0.01560697464,-0.02445983003,-0.00363476172
27,tracked,-0.3814817635,0.5661212466,0.08266006626,-0.04632559522,0.01702332932,0.2769745276,-0.1283696597,0.1151295502,-0.06652502122,0.09032170321,-0.04107089364,0.08320749404,0.1269805172,0.2622619195,0.05468533594,0.08343805583,0.0253473704,0.02652276062,0.1110603586,0.05737582473,0.01114406969,-0.0657344831,0.08167531842,-0.03881670097,0.06509870216,0.02023413839,-0.006608341231,-0.0138357731,-0.02479725649,-0.004494696349
28,tracked,-0.3788789308,0.5663105426,0.08411822927,-0.04615681318,0.01786077762,0.2763650481,-0.1284022085,0.1171416333,-0.06208537086,0.08955158076,-0.04195428186,0.07673217635,0.1253373666,0.2537970515,0.05184596877,0.08270429459,0.02870372551,0.02671357141,0.1081022695,0.05452828959,0.01081324494,-0.06417626319,0.07634283805,-0.03607642674,0.06257364626,0.02060441534,-0.005477999616,-0.01238820942,-0.02535880649,-0.00516546838
29,tracked,-0.3648746596,0.5631272925,0.08698448417,-0.04794696512,0.01894760089,0.2748998159,-0.1248968503,0.1197157544,-0.05769379398,0.09016894572,-0.04185035888,0.06972873186,0.1238241044,0.2451849995,0.05045476836,0.08169576176,0.03112247952,0.0270477082,0.1054660985,0.05172679517,0.01097089152,-0.06259369528,0.07213276974,-0.03351860209,0.05991399617,0.02087091091,-0.004576575007,-0.01108300434,-0.02549541932,-0.005451444741
30,tracked,-0.3321238044,0.5550155515,0.0915897536,-0.05174974239,0.02155429194,0.2719410747,-0.1185994758,0.1219173529,-0.0538516311,0.09269963163,-0.04084266044,0.06078295447,0.122457832,0.2361613338,0.05116010762,0.08009291277,0.0328001653,0.02818877206,0.1018834421,0.04875476536,0.01145144025,-0.06061392733,0.06920308695,-0.03160779631,0.05622209534,0.0213939794,-0.00388205028,-0.010451829,-0.02480464194,-0.005080983632
31,tracked,-0.2880830718,0.5430719234,0.09744486397,-0.05745494341,0.02556659781,0.2678302699,-0.1089960014,0.1241275167,-0.05026510652,0.09635413666,-0.03933826119,0.05124588243,0.1218224078,0.2273294054,0.05247174928,0.07795928872,0.03367528107,0.02957855938,0.09794398811,0.04623976571,0.01199221068,-0.05914366199,0.06639639659,-0.02986233278,0.05240281416,0.02173595463,-0.003345243397,-0.0104218566,-0.02354413204,-0.004552052972
32,tracked,-0.2370954794,0.5290613571,0.1037941357,-0.06441948231,0.03020054044,0.2627643947,-0.09963190198,0.1249153873,-0.04671399742,0.1003373871,-0.03806037443,0.04170129384,0.121350779,0.2186476009,0.05433763372,0.07584797241,0.03407018209,0.0311035137,0.09375329518,0.04372672523,0.01233900591,-0.05768250709,0.06417584937,-0.0280800212,0.04847961247,0.02238475759,-0.002950252326,-0.01051562166,-0.02227426212,-0.003673094993
33,tracked,-0.1809474482,0.5135322095,0.1104083972,-0.07241550976,0.03494141747,0.2573676423,-0.08873848614,0.1255392249,-0.04354984976,0.1051099958,-0.03634762251,0.03293552515,0.1208124545,0.2106445722,0.05629880067,0.07340512929,0.03381700764,0.03269432732,0.08969883097,0.04117115905,0.01244955874,-0.05661535194,0.06228893004,-0.02599295155,0.04502980911,0.02308295706,-0.002974164791,-0.01049304135,-0.02068758152,-0.002401381936
34,tracked,-0.1204194619,0.4966752961,0.1170915549,-0.08231357626,0.0404070176,0.2503272107,-0.07550736084,0.1255210257,-0.0400638422,0.1102340559,-0.03445892657,0.02433724504,0.1204444321,0.2031325469,0.05805551938,0.07065046463,0.03319504339,0.03438264621,0.08569831896,0.03904207935,0.01261501757,-0.05622267201,0.06053089396,-0.02373239224,0.04190430204,0.02372850215,-0.003329911355,-0.01046656844,-0.01905583976,-0.001280490536
35,tracked,-0.06616100786,0.4806838151,0.1228893797,-0.09081533059,0.04529738467,0.2439433656,-0.06374796721,0.125508187,-0.03675039855,0.1145061355,-0.03250175947,0.01650017156,0.1198363543,0.1961403963,0.05952908775,0.06828803359,0.03261616094,0.03572686064,0.08207718324,0.03731902503,0.01304150494,-0.05567875137,0.05926792834,-0.02216021562,0.0390148939,0.02424848943,-0.003544959675,-0.0104831958,-0.01764858132,-0.0004059030751
36,tracked,-0.0141721487,0.465072581,0.1284554533,-0.09870056975,0.04961719703,0.2382583599,-0.05365688434,0.1251844385,-0.03371959309,0.1180746039,-0.03063634786,0.009045509023,0.1193005493,0.1896452369,0.06090844245,0.06597265426,0.03234343687,0.03711793167,0.07837226784,0.03582866404,0.01345949347,-0.05515094423,0.0582596349,-0.0211148316,0.03626375367,0.02492343843,-0.003772539917,-0.0105944318,-0.0165780201,0.0003838351599
37,tracked,0.03585922201,0.4503865627,0.1333964732,-0.106684414,0.0533833004,0.2325703371,-0.04314423232,0.1249186771,-0.03081173851,0.12
