index,name,u,v,z_norm,x_norm,y_norm
0,center.lips.upper.outer,390.77084442973137,502.2884330749512,-0.03215809166431427,0.4990687668323517,0.6390438079833984
1,,399.9764247536659,457.0990980863571,-0.09012053161859512,0.5108255743980408,0.5815510153770447
2,center.nose.attachment_to_philtrum,397.96268874406815,466.23741924762726,-0.04127300903201103,0.5082537531852722,0.5931773781776428
3,,390.03034794330597,403.32618391513824,-0.07833811640739441,0.49812304973602295,0.5131376385688782
4,center.nose.tip,400.77999633550644,442.3941957950592,-0.09882756322622299,0.5118518471717834,0.5628424882888794
5,,401.35002905130386,420.8052645921707,-0.09587198495864868,0.5125798583030701,0.5353756546974182
6,,402.13763934373856,366.0588698387146,-0.06168781593441963,0.5135857462882996,0.46572375297546387
7,,307.3395745754242,351.2763851881027,-0.0007607202860526741,0.3925154209136963,0.44691652059555054
8,,402.75816947221756,331.829870223999,-0.0586254708468914,0.5143782496452332,0.42217540740966797
9,,403.58278942108154,312.77211034297943,-0.0672018975019455,0.5154314041137695,0.3979288935661316
10,center.front.trichion,406.09025198221207,231.43541604280472,-0.06395342946052551,0.5186337828636169,0.2944470942020416
11,,390.72482737898827,505.4739478826523,-0.028332393616437912,0.49900999665260315,0.6430966258049011
12,,390.83594968914986,508.07900047302246,-0.02169591374695301,0.49915191531181335,0.6464109420776367
13,center.lips.upper.inner,391.1518618762493,509.78332936763763,-0.011611911468207836,0.499555379152298,0.6485792994499207
14,center.lips.lower.inner,390.92380678653717,510.1170834302902,-0.01237298734486103,0.499264121055603,0.6490039229393005
15,,390.7244540154934,515.1079341173172,-0.01258857175707817,0.49900951981544495,0.6553536057472229
16,,390.5031428039074,520.9065127372742,-0.015525317750871181,0.49872687458992004,0.6627309322357178
17,center.lips.lower.outer,390.4616294503212,526.8651283979416,-0.012609199620783329,0.49867385625839233,0.6703118681907654
18,,393.08236116170883,545.6432919502258,0.004950711037963629,0.5020208954811096,0.6942026615142822
19,,399.20286226272583,463.2082872390747,-0.07976706326007843,0.5098376274108887,0.5893235206604004
20,,384.4532774090767,459.8214143514633,-0.056159473955631256,0.49100035429000854,0.5850145220756531
21,,245.03713157773018,282.6449734568596,0.0606895349919796,0.31294652819633484,0.35959920287132263
22,,344.53178241848946,363.9451253414154,-0.012731003575026989,0.44001504778862,0.4630345106124878
23,,331.22352066636086,365.02830344438553,-0.01273583434522152,0.42301854491233826,0.4644125998020172
24,,318.03048822283745,364.1664412021637,-0.009417531080543995,0.40616920590400696,0.46331608295440674
25,,300.86230131983757,355.61092472076416,0.002524701878428459,0.38424304127693176,0.45243120193481445
26,,355.7920753955841,361.0795909166336,-0.010869281366467476,0.45439600944519043,0.459388792514801
27,,323.57222923636436,327.82777297496796,-0.02790072374045849,0.4132467806339264,0.4170836806297302
