frame,status,rmse,angle_axis_x,angle_axis_y,angle_axis_z,translation_x,translation_y,translation_z,focal_length,expression_0,expression_1,expression_2,expression_3,expression_4,expression_5,expression_6,expression_7,expression_8,expression_9,expression_10,expression_11,expression_12,expression_13,expression_14,expression_15,expression_16,expression_17,expression_18,expression_19,expression_20,expression_21,expression_22,expression_23,expression_24,expression_25,expression_26,expression_27,expression_28,expression_29
12,tracked,0.01388510616,0.10218648,0.04805629397,1.626070613,-21.68753217,9.062360702,652.8277451,1.203529897,-0.2291116623,0.5160187085,0.06995274309,-0.06390562413,0.01562392467,0.3203398984,-0.1505098342,0.04441470825,-0.2047215923,0.13484075,-0.009527127754,0.2493883837,0.1828839822,0.5187543965,0.1556376788,0.09974431201,-0.07368775364,0.0317510321,0.1877222938,0.1416995187,0.01126439683,-0.09915404315,0.2290057312,-0.1259747384,0.1316553906,0.01189481962,-0.04768683622,-0.05961434324,-0.009023649957,0.0283430395
13,tracked,0.01417826116,0.105064696,0.05027881807,1.620782666,-21.68760327,9.062306453,652.3442658,1.203529897,-0.2383942968,0.5157904428,0.07173119166,-0.06257401968,0.01566787056,0.3160869219,-0.1471850868,0.05210405556,-0.1892267371,0.129761246,-0.01209880359,0.2312396297,0.1766391769,0.4904187162,0.1444946175,0.09769980398,-0.06375936769,0.03114658318,0.1794555704,0.1329191077,0.0117064801,-0.09605116945,0.2126307502,-0.1171477129,0.1243901392,0.01250899017,-0.04359340934,-0.05486992375,-0.01064063259,0.02458774022
14,tracked,0.01435272275,0.1045579976,0.04900465252,1.618073215,-21.68770885,9.062247216,653.5383671,1.203529897,-0.2462768014,0.5177191926,0.07353598042,-0.06112148858,0.0157464534,0.3121483237,-0.144347883,0.05950540868,-0.1749880467,0.1258890187,-0.01431687491,0.2140737859,0.1708616254,0.4639948072,0.1345480566,0.09578503569,-0.05407204725,0.03042023151,0.171479445,0.1247222212,0.01211070278,-0.09309469195,0.1975122157,-0.109195887,0.1175485937,0.01308304798,-0.03976942921,-0.05041568144,-0.01228381012,0.0210604304
15,tracked,0.01472577445,0.1026846701,0.04650836634,1.621155889,-21.68775243,9.062226243,653.8512445,1.203529897,-0.2503139916,0.5192714372,0.07551797451,-0.06001035099,0.0169700635,0.3079776029,-0.1417745346,0.06552810935,-0.1621169006,0.1221375911,-0.01611683736,0.1983767752,0.1660608491,0.4398274199,0.1255705944,0.09377415264,-0.045223658,0.03001483079,0.1640959784,0.1172555511,0.01213434757,-0.09037968328,0.183431571,-0.1013772863,0.1112167789,0.01399113045,-0.03617874604,-0.04630364842,-0.01357267057,0.01815325226
16,tracked,0.01516128113,0.1018697229,0.04753455118,1.623157169,-21.68779094,9.062377983,653.9985451,1.203529897,-0.2582272897,0.5220660255,0.07690555694,-0.05830671367,0.01794432779,0.3041865738,-0.1411435245,0.07067252444,-0.1499236234,0.1181584038,-0.01852650805,0.1836906766,0.1613316077,0.4176957549,0.1171137745,0.09191933419,-0.03677750199,0.02955689027,0.1568587242,0.1104736044,0.01197129697,-0.0882453192,0.1698919082,-0.09420630621,0.1054306412,0.01469684175,-0.03270778018,-0.04225435009,-0.01508996644,0.01497343773
17,tracked,0.01613781148,0.107777894,0.04874868918,1.620882343,-21.68781808,9.062582078,651.6514243,1.203529897,-0.2681585363,0.5261377076,0.07824730742,-0.05658795104,0.0182550794,0.30144929,-0.140756191,0.07611550241,-0.1386724113,0.114681902,-0.02086502557,0.1700596451,0.1565767238,0.3973690941,0.1093726121,0.09033324345,-0.02890230697,0.02905018608,0.1503958651,0.1039722406,0.0119259179,-0.08618891163,0.1573890535,-0.08746739087,0.1003322688,0.01517423665,-0.02957529619,-0.03827402578,-0.01651088779,0.01190307438
18,tracked,0.01713191038,0.1072773793,0.05198360225,1.616270309,-21.68778648,9.062824847,653.6452762,1.203529897,-0.2839442643,0.5315725454,0.07915782919,-0.05464875985,0.01766060065,0.2991663152,-0.1385295842,0.08329768067,-0.1279066421,0.111285396,-0.02319816729,0.1569200417,0.1520690502,0.3779426205,0.101738994,0.08916482549,-0.02101826023,0.02824580682,0.1452108734,0.09761915727,0.01263222786,-0.08353669124,0.146251061,-0.0813420986,0.09593695911,0.01496191713,-0.02664369139,-0.03469170945,-0.01785315732,0.00894907806
19,tracked,0.01782693652,0.1054889315,0.0521521436,1.61465596,-21.68772098,9.062729464,652.6736671,1.203529897,-0.2979220909,0.5362892845,0.0796890134,-0.05282512481,0.01723123288,0.2964394406,-0.1369905772,0.08919429788,-0.1179980882,0.1080217552,-0.02553883359,0.1443600736,0.1476060441,0.3597337464,0.09509348641,0.08831392469,-0.01359628981,0.02780328494,0.1399629233,0.09167233392,0.01329461526,-0.08095837175,0.1364850655,-0.07599225928,0.09151829583,0.01507819357,-0.02364662459,-0.03161287547,-0.01918523245,0.006071843869
20,tracked,0.01871681119,0.1027284129,0.05302729471,1.607073411,-21.68758127,9.062538932,651.5849702,1.203529897,-0.313223796,0.5415794894,0.07981614102,-0.05139212663,0.01662878313,0.2931948577,-0.1356676244,0.09355100233,-0.1097731595,0.1052338959,-0.02823575289,0.1342782715,0.1439208405,0.3438346224,0.08870667812,0.08776154157,-0.007089638119,0.02772131507,0.1351454747,0.08612241595,0.01322124514,-0.07804784264,0.1280743856,-0.07032322644,0.08716623108,0.01600224724,-0.02083882203,-0.0288662416,-0.02023683185,0.004382839252
21,tracked,0.01887193286,0.1076160052,0.05323475607,1.607865606,-21.68734266,9.062413108,649.6277679,1.203529897,-0.3301313604,0.5469162505,0.07972303012,-0.05021565953,0.01586678413,0.2899906311,-0.134131886,0.09751736253,-0.1020604484,0.1022904081,-0.03083736249,0.1254339798,0.1407954723,0.3290525921,0.08252072892,0.08743049629,-0.001106647842,0.02756467499,0.1310840721,0.08105737698,0.01316432659,-0.07541076925,0.1204502638,-0.06495777953,0.08331186885,0.01687797822,-0.01810844177,-0.02640756771,-0.02143763365,0.00294017057
22,tracked,0.01879855818,0.1106314633,0.05260767706,1.608665208,-21.68716373,9.062510666,649.8943661,1.203529897,-0.3435677037,0.5517401909,0.08020329866,-0.04968283399,0.01555552912,0.2874789952,-0.1322899522,0.1015679318,-0.09485023314,0.1001517546,-0.03326454268,0.1171664951,0.1382877388,0.3155091286,0.07660407401,0.0869409869,0.004326044769,0.02726000288,0.1274147179,0.07616508261,0.01309189742,-0.07320062387,0.1127958425,-0.0596076349,0.0797688846,0.01753327536,-0.01584700683,-0.02399682827,-0.022295589,0.001709463524
23,tracked,0.01915327424,0.1101022683,0.0536671782,1.604571321,-21.6869636,9.06254218,647.0470295,1.203529897,-0.3558953094,0.555946833,0.08043696386,-0.04906270035,0.01578774976,0.2846160505,-0.1319256712,0.1042450584,-0.08801364603,0.09749720728,-0.03565516889,0.1095565994,0.1358696092,0.3031472278,0.07126039694,0.08638967819,0.009303152885,0.0270703757,0.1235048586,0.07173058451,0.01280901734,-0.07178988283,0.1055318448,-0.05484575523,0.07629692654,0.01818729886,-0.01347978919,-0.02181538095,-0.02312450584,-2.261683892e-05
24,tracked,0.01893949078,0.1116976448,0.05264365689,1.60628817,-21.68679023,9.062794209,651.1193141,1.203529897,-0.3628660845,0.5587969703,0.08107483808,-0.04866213653,0.01658802493,0.2818465574,-0.1306270584,0.1070492855,-0.08181471521,0.09555788431,-0.03745665553,0.1021552038,0.1334880616,0.2916103782,0.06673083711,0.08559573478,0.01370941484,0.02693624588,0.1200533688,0.06760218415,0.01245185204,-0.07040392398,0.09876259248,-0.05008348847,0.07320735585,0.01878393913,-0.01153794355,-0.01949645166,-0.02340356062,-0.001390581403
25,tracked,0.01820248902,0.1113735073,0.05423622086,1.607835324,-21.68667902,9.063001929,647.9701037,1.203529897,-0.3730528027,0.5625145321,0.08139555681,-0.0478888189,0.01657961335,0.2799028217,-0.1299490948,0.1100016723,-0.0760901786,0.09358031939,-0.03921936613,0.09562931421,0.1312842843,0.2810438094,0.06203276507,0.08500631192,0.01794004581,0.02658460663,0.1169779093,0.06376057982,0.01209383128,-0.06904017462,0.09227177089,-0.04581643167,0.0703707633,0.01912976797,-0.009710579331,-0.01749516472,-0.02394524066,-0.002719370935
26,tracked,0.01715674355,0.1085240608,0.05297644961,1.606971856,-21.68661073,9.062988899,651.2051779,1.203529897,-0.3824148137,0.5654396683,0.08118061723,-0.04634699486,0.01623424378,0.2778993183,-0.1291657692,0.1127601646,-0.07128370254,0.09140808886,-0.04038177969,0.0896452148,0.1288140008,0.2711719712,0.05806809886,0.08436791196,0.02194407297,0.02650397268,0.1141627993,0.06037128055,0.01163056335,-0.06699888572,0.08729487233,-0.04210416542,0.06770734539,0.01975400116,-0.00787148987,-0.01560697464,-0.02445983003,-0.00363476172
27,tracked,0.01541338298,0.1072391729,0.05499059807,1.624194367,-21.68660569,9.063141023,648.2560017,1.203529897,-0.3814817635,0.5661212466,0.08266006626,-0.04632559522,0.01702332932,0.2769745276,-0.1283696597,0.1151295502,-0.06652502122,0.09032170321,-0.04107089364,0.08320749404,0.1269805172,0.2622619195,0.05468533594,0.08343805583,0.0253473704,0.02652276062,0.1110603586,0.05737582473,0.01114406969,-0.0657344831,0.08167531842,-0.03881670097,0.06509870216,0.02023413839,-0.006608341231,-0.0138357731,-0.02479725649,-0.004494696349
28,tracked,0.01480308389,0.1005636162,0.05430706058,1.621129297,-21.68666432,9.063231314,648.013309,1.203529897,-0.3788789308,0.5663105426,0.08411822927,-0.04615681318,0.01786077762,0.2763650481,-0.1284022085,0.1171416333,-0.06208537086,0.08955158076,-0.04195428186,0.07673217635,0.1253373666,0.2537970515,0.05184596877,0.08270429459,0.02870372551,0.02671357141,0.1081022695,0.05452828959,0.01081324494,-0.06417626319,0.07634283805,-0.03607642674,0.06257364626,0.02060441534,-0.005477999616,-0.01238820942,-0.02535880649,-0.00516546838
29,tracked,0.01440079384,0.1044856696,0.05313301803,1.630340807,-21.68663713,9.063447971,650.1120079,1.203529897,-0.3648746596,0.5631272925,0.08698448417,-0.04794696512,0.01894760089,0.2748998159,-0.1248968503,0.1197157544,-0.05769379398,0.09016894572,-0.04185035888,0.06972873186,0.1238241044,0.2451849995,0.05045476836,0.08169576176,0.03112247952,0.0270477082,0.1054660985,0.05172679517,0.01097089152,-0.06259369528,0.07213276974,-0.03351860209,0.05991399617,0.02087091091,-0.004576575007,-0.01108300434,-0.02549541932,-0.005451444741
30,tracked,0.01374158516,0.09134767876,0.05530278529,1.634758546,-21.68659854,9.063277164,648.9439251,1.203529897,-0.3321238044,0.5550155515,0.0915897536,-0.05174974239,0.02155429194,0.2719410747,-0.1185994758,0.1219173529,-0.0538516311,0.09269963163,-0.04084266044,0.06078295447,0.122457832,0.2361613338,0.05116010762,0.08009291277,0.0328001653,0.02818877206,0.1018834421,0.04875476536,0.01145144025,-0.06061392733,0.06920308695,-0.03160779631,0.05622209534,0.0213939794,-0.00388205028,-0.010451829,-0.02480464194,-0.005080983632
31,tracked,0.01459918733,0.09189411271,0.05122370511,1.640103322,-21.6864074,9.062960884,650.5456422,1.203529897,-0.2880830718,0.5430719234,0.09744486397,-0.05745494341,0.02556659781,0.2678302699,-0.1089960014,0.1241275167,-0.05026510652,0.09635413666,-0.03933826119,0.05124588243,0.1218224078,0.2273294054,0.05247174928,0.07795928872,0.03367528107,0.02957855938,0.09794398811,0.04623976571,0.01199221068,-0.05914366199,0.06639639659,-0.02986233278,0.05240281416,0.02173595463,-0.003345243397,-0.0104218566,-0.02354413204,-0.004552052972
32,tracked,0.01450573084,0.08694396863,0.04750525145,1.637107115,-21.686214,9.062807666,650.4875687,1.203529897,-0.2370954794,0.5290613571,0.1037941357,-0.06441948231,0.03020054044,0.2627643947,-0.09963190198,0.1249153873,-0.04671399742,0.1003373871,-0.03806037443,0.04170129384,0.121350779,0.2186476009,0.05433763372,0.07584797241,0.03407018209,0.0311035137,0.09375329518,0.04372672523,0.01233900591,-0.05768250709,0.06417584937,-0.0280800212,0.04847961247,0.02238475759,-0.002950252326,-0.01051562166,-0.02227426212,-0.003673094993
33,tracked,0.0150461819,0.08635954086,0.04338021672,1.634618332,-21.68604603,9.06276409,652.1970257,1.203529897,-0.1809474482,0.5135322095,0.1104083972,-0.07241550976,0.03494141747,0.2573676423,-0.08873848614,0.1255392249,-0.04354984976,0.1051099958,-0.03634762251,0.03293552515,0.1208124545,0.2106445722,0.05629880067,0.07340512929,0.03381700764,0.03269432732,0.08969883097,0.04117115905,0.01244955874,-0.05661535194,0.06228893004,-0.02599295155,0.04502980911,0.02308295706,-0.002974164791,-0.01049304135,-0.02068758152,-0.002401381936
34,tracked,0.01545310832,0.08304396471,0.04338747821,1.636111134,-21.6856885,9.062944687,651.1253445,1.203529897,-0.1204194619,0.4966752961,0.1170915549,-0.08231357626,0.0404070176,0.2503272107,-0.07550736084,0.1255210257,-0.0400638422,0.1102340559,-0.03445892657,0.02433724504,0.1204444321,0.2031325469,0.05805551938,0.07065046463,0.03319504339,0.03438264621,0.08569831896,0.03904207935,0.01261501757,-0.05622267201,0.06053089396,-0.02373239224,0.04190430204,0.02372850215,-0.003329911355,-0.01046656844,-0.01905583976,-0.001280490536
35,tracked,0.01538098013,0.07985482165,0.04851237594,1.646875057,-21.68528411,9.062953225,654.0367639,1.203529897,-0.06616100786,0.4806838151,0.1228893797,-0.09081533059,0.04529738467,0.2439433656,-0.06374796721,0.125508187,-0.03675039855,0.1145061355,-0.03250175947,0.01650017156,0.1198363543,0.1961403963,0.05952908775,0.06828803359,0.03261616094,0.03572686064,0.08207718324,0.03731902503,0.01304150494,-0.05567875137,0.05926792834,-0.02216021562,0.0390148939,0.02424848943,-0.003544959675,-0.0104831958,-0.01764858132,-0.0004059030751
36,tracked,0.01509525621,0.08224417446,0.049754672,1.651100026,-21.6849224,9.062704806,651.6783944,1.203529897,-0.0141721487,0.465072581,0.1284554533,-0.09870056975,0.04961719703,0.2382583599,-0.05365688434,0.1251844385,-0.03371959309,0.1180746039,-0.03063634786,0.009045509023,0.1193005493,0.1896452369,0.06090844245,0.06597265426,0.03234343687,0.03711793167,0.07837226784,0.03582866404,0.01345949347,-0.05515094423,0.0582596349,-0.0211148316,0.03626375367,0.02492343843,-0.003772539917,-0.0105944318,-0.0165780201,0.0003838351599
37,tracked,0.01522178858,0.08348082568,0.04981621402,1.643953872,-21.68456236,9.062460507,653.7170091,1.203529897,0.03585922201,0.4503865627,0.1333964732,-0.106684414,0.0533833004,0.2325703371,-0.04314423232,0.1249186771,-0.03081173851,0.1219586305,-0.02878779358,0.002335397052,0.1184545356,0.1838652154,0.06219097003,0.06380884275,0.03201026459,0.0385456003,0.07512471643,0.034461346,0.01394354682,-0.05482673165,0.05762910011,-0.01985971872,0.03384171397,0.02562027649,-0.004228680265,-0.01058229264,-0.01554390533,0.0009814481318
38,tracked,0.01529882919,0.08028396418,0.05297583615,1.643037106,-21.68415609,9.061838079,656.4091778,1.203529897,0.08338361944,0.4359684038,0.137563737,-0.1137700447,0.05579532533,0.2264514005,-0.03106641319,0.1255367257,-0.02884975788,0.1269457666,-0.02690792305,-0.003946705789,0.1169388315,0.1784904744,0.06354490912,0.06195146058,0.03151429509,0.03969742371,0.07221143518,0.03307275388,0.01498377949,-0.0531288387,0.05843348731,-0.01913429917,0.0312876045,0.02625233685,-0.004919539938,-0.0106906511,-0.01440395976,0.002351166423
39,tracked,0.01426402994,0.08724952984,0.05533517111,1.640899312,-21.68379723,9.061450893,658.9165853,1.203529897,0.126157162,0.4211196582,0.1407393133,-0.1188624983,0.05817499607,0.2202506692,-0.02280340838,0.124495226,-0.0268409052,0.1306874354,-0.02486077285,-0.009083018223,0.1148198624,0.1732492827,0.06474573213,0.06055141391,0.03095267964,0.04032659937,0.06905908825,0.03224760114,0.01546008863,-0.05229632412,0.05875226039,-0.01893260217,0.02919066386,0.02659614082,-0.005446434406,-0.01074933823,-0.01361019767,0.00318254349
40,tracked,0.01468135717,0.09364369498,0.05606620869,1.643185277,-21.68341503,9.06143375,660.9805886,1.203529897,0.1712157092,0.4033579948,0.14277457,-0.1227993685,0.06143282145,0.2118797087,-0.01493465981,0.1217779747,-0.02473243269,0.1334096231,-0.02178979015,-0.01370401065,0.1120224752,0.1676525074,0.06630052765,0.05896378321,0.02963260744,0.04052899879,0.065877289,0.0320739125,0.01569242873,-0.0521141564,0.05889019735,-0.01882041926,0.02746556937,0.02630333657,-0.005896297152,-0.01090636531,-0.01271344009,0.003330259332
41,tracked,0.0142522088,0.1000567402,0.05420316824,1.635240403,-21.68300569,9.061832452,660.9678861,1.203529897,0.2200796186,0.3839805951,0.1440597012,-0.1270537422,0.0653556207,0.2012833533,-0.00771108367,0.1166056243,-0.02235529526,0.1370313456,-0.01914336328,-0.01723397872,0.1088603455,0.1624962304,0.06806326623,0.05770500472,0.02776344379,0.04008177779,0.0627403079,0.03192581195,0.01574038698,-0.05240477616,0.05860461067,-0.01815330515,0.02615877854,0.02596507319,-0.006832263179,-0.01102009206,-0.01167998443,0.003504754454
42,tracked,0.01350168824,0.1022454244,0.05675599965,1.633781574,-21.68262679,9.062423688,662.9811349,1.203529897,0.2606959264,0.366966755,0.1438561249,-0.1285404602,0.06866035991,0.1905312306,-0.002281182014,0.1109912666,-0.02061248487,0.1407127579,-0.01677194177,-0.01973000616,0.1052964109,0.157798599,0.06972146894,0.05685505219,0.02595099624,0.03916283113,0.0599135296,0.03198793951,0.01554244215,-0.05212631311,0.05808836206,-0.01737752851,0.02510179962,0.02545525191,-0.007921205502,-0.01097388239,-0.01068934816,0.003878670999
43,tracked,0.01238473071,0.1092894884,0.06940562305,1.623595965,-21.68226869,9.062642156,667.0118793,1.203529897,0.2644783543,0.361400685,0.1414748064,-0.1241392155,0.06766681871,0.1850733527,-0.003963979761,0.1083534896,-0.0196876185,0.1422331184,-0.01646214663,-0.02165625406,0.1012343958,0.1538268083,0.07049695217,0.05780393215,0.02606564893,0.03732348399,0.05829356704,0.03173275727,0.01577404272,-0.04986258821,0.05757670994,-0.01815451198,0.0240947048,0.02451132036,-0.008142793952,-0.01089865757,-0.01086688417,0.003725854252
44,tracked,0.01324829013,0.1159477002,0.06928152735,1.616304649,-21.68211834,9.062856375,675.3816262,1.203529897,0.2379327462,0.3647513683,0.1364273264,-0.1157342757,0.06381645078,0.1832723003,-0.01011032813,0.1078040884,-0.01928329794,0.1410468402,-0.01702625767,-0.02099881525,0.09686038073,0.1507994556,0.06919341192,0.05978684765,0.02722351586,0.03463888482,0.05829853291,0.03147916682,0.0158147757,-0.04737233157,0.05668388772,-0.01885634356,0.02477383887,0.0230254772,-0.008021849256,-0.01030334708,-0.01159676346,0.003305355416
45,tracked,0.01355405111,0.1163887327,0.07112964164,1.613687736,-21.68193497,9.062971716,674.6112004,1.203529897,0.2048747697,0.3690081213,0.1305342669,-0.1061368911,0.06060993219,0.1816371103,-0.01926637376,0.1058877064,-0.01857854637,0.1381523209,-0.01808224172,-0.01970597906,0.09277513808,0.1482118184,0.06721502999,0.06227613025,0.02872489618,0.03159527011,0.05828551812,0.03152450293,0.01615499898,-0.04562970904,0.05521420348,-0.02024161515,0.02604116807,0.02122978946,-0.007768808946,-0.01001718923,-0.01273289642,0.002153896968
46,tracked,0.01331632498,0.1160461535,0.07082315861,1.614770087,-21.68177245,9.06291562,679.4463863,1.203529897,0.1699894395,0.3735514192,0.1241061898,-0.09614479644,0.0569318759,0.1799606489,-0.02747759011,0.1047176166,-0.01811577043,0.1348524847,-0.0184700373,-0.0180012935,0.08852318672,0.1455193615,0.06519859686,0.06462551937,0.0302297704,0.02864615251,0.05870390048,0.03167295136,0.01666103625,-0.04377531193,0.05448186361,-0.02163430618,0.02748743029,0.01946178635,-0.007441465053,-0.009659946172,-0.0136604835,0.001086767702
47,tracked,0.0134076951,0.1201322595,0.07307197384,1.610513458,-21.68162154,9.06310082,678.2155759,1.203529897,0.1350817142,0.3780331062,0.1180656799,-0.0869208267,0.05286496057,0.1788411786,-0.03549711961,0.1035536327,-0.01756485403,0.1317624044,-0.01907262531,-0.01593167102,0.08429054671,0.1427729643,0.06333141899,0.06726271227,0.03133656673,0.02572670279,0.05962315534,0.03159644859,0.01710601221,-0.04197109301,0.05378127299,-0.0226749978,0.02897755493,0.01793760584,-0.007258049994,-0.009157728978,-0.01452673967,0.0002477753597
48,tracked,0.01348282638,0.1193342775,0.07676638936,1.617414047,-21.6814765,9.063217663,679.8109862,1.203529897,0.1035788811,0.3810091809,0.1122781078,-0.07818879168,0.04925979994,0.1777815985,-0.0419851623,0.1028528228,-0.01724831905,0.1285568783,-0.01898392974,-0.01395265338,0.08030651671,0.1404005061,0.06162344237,0.06945571238,0.03206706488,0.02298927196,0.06077094893,0.03176140638,0.01775176297,-0.04028892056,0.05327050213,-0.0237410941,0.03073985147,0.01618136221,-0.007101927653,-0.008842557909,-0.01517881271,-0.0005852140974
