index,x_px,y_px,z_norm,x_norm,y_norm
0,267.67230224609375,272.2333073616028,-0.04007386043667793,0.5227974653244019,0.45372217893600464
1,267.7619934082031,245.9682047367096,-0.08319243788719177,0.5229726433753967,0.409947007894516
2,267.77276611328125,252.60055661201477,-0.0418008416891098,0.5229936838150024,0.4210009276866913
3,259.4541015625,218.04914474487305,-0.06448736041784286,0.5067462921142578,0.3634152412414551
4,267.5366516113281,237.8029704093933,-0.08934065699577332,0.5225325226783752,0.3963382840156555
5,267.0572814941406,226.39120817184448,-0.08393919467926025,0.5215962529182434,0.37731868028640747
6,265.7632141113281,198.36310744285583,-0.044039204716682434,0.5190687775611877,0.3306051790714264
7,208.4595489501953,195.48881649971008,0.01806814782321453,0.4071475565433502,0.32581469416618347
8,265.0386047363281,178.4524440765381,-0.03524037078022957,0.5176535248756409,0.2974207401275635
9,264.7907409667969,168.28696131706238,-0.039545346051454544,0.5171694159507751,0.28047826886177063
10,264.3143005371094,132.7712595462799,-0.026046784594655037,0.5162388682365417,0.22128543257713318
11,267.71270751953125,274.9068796634674,-0.037208009511232376,0.5228763818740845,0.4581781327724457
12,267.69842529296875,277.469265460968,-0.03146246075630188,0.5228484869003296,0.46244877576828003
13,267.7483215332031,279.1024446487427,-0.022711599245667458,0.5229459404945374,0.4651707410812378
14,267.6988525390625,279.0543794631958,-0.025660879909992218,0.5228493213653564,0.46509063243865967
15,267.84527587890625,282.7595829963684,-0.026822704821825027,0.5231353044509888,0.471265971660614
16,267.93402099609375,287.2935712337494,-0.03063998743891716,0.5233086347579956,0.47882261872291565
17,268.0067443847656,291.93368554115295,-0.029419071972370148,0.5234506726264954,0.48655614256858826
18,268.9450378417969,297.6512610912323,-0.015409942716360092,0.5252832770347595,0.49608543515205383
19,267.7984313964844,249.71272945404053,-0.07457532733678818,0.5230438113212585,0.4161878824234009
20,259.1847839355469,249.19170141220093,-0.0525558665394783,0.506220281124115,0.4153195023536682
21,176.91726684570312,168.48371028900146,0.0894021987915039,0.3455415368080139,0.28080618381500244
22,233.3925323486328,200.12022256851196,0.0022947259712964296,0.45584478974342346,0.33353370428085327
23,225.1073760986328,201.79011225700378,0.003440937725827098,0.4396628439426422,0.336316853761673
24,216.796142578125,202.44262218475342,0.00775400223210454,0.4234299659729004,0.33740437030792236
25,205.62860107421875,198.40627312660217,0.0206533782184124,0.4016183614730835,0.3306771218776703
26,240.1505584716797,197.76504635810852,0.003916162997484207,0.4690440595149994,0.32960841059684753
27,217.06675720214844,180.38864135742188,-0.0049432795494794846,0.42395851016044617,0.3006477355957031
28,226.98365783691406,180.18903136253357,-0.004765523597598076,0.4433274567127228,0.3003150522708893
29,208.71463012695312,182.75359869003296,0.00017000582010950893,0.4076457619667053,0.30458933115005493
30,203.75071716308594,186.31351590156555,0.006691956426948309,0.3979506194591522,0.31052252650260925
31,199.39308166503906,203.95628213882446,0.028939804062247276,0.3894396126270294,0.33992713689804077
32,237.71603393554688,312.55130767822266,0.006799527909606695,0.464289128780365,0.5209188461303711
33,205.0196990966797,193.3838188648224,0.022853469476103783,0.4004290997982025,0.322306364774704
34,175.2878875732422,201.50672793388367,0.09897724539041519,0.34235915541648865,0.3358445465564728
35,189.36932373046875,198.85071516036987,0.044254712760448456,0.3698619604110718,0.33141785860061646
36,226.6906280517578,237.04158067703247,-0.009268419817090034,0.4427551329135895,0.39506930112838745
37,256.83294677734375,270.63817977905273,-0.03832783177495003,0.5016268491744995,0.4510636329650879
38,258.3112487792969,277.24220752716064,-0.0292452834546566,0.5045141577720642,0.4620703458786011
39,246.70025634765625,272.7927088737488,-0.028944524005055428,0.4818364381790161,0.4546545147895813
40,240.1072998046875,275.55288076400757,-0.017627665773034096,0.4689595699310303,0.45925480127334595
41,250.21044921875,277.460914850235,-0.02326587401330471,0.4886922836303711,0.462434858083725
42,243.8737335205078,278.20411920547485,-0.013121073134243488,0.4763158857822418,0.46367353200912476
43,231.62269592285156,286.43415570259094,0.006046638824045658,0.45238807797431946,0.47739025950431824
44,260.5263671875,245.93834280967712,-0.08180487900972366,0.5088405609130859,0.40989723801612854
45,259.18133544921875,238.1389617919922,-0.08744880557060242,0.5062135457992554,0.3968982696533203
46,192.40423583984375,182.06622004508972,0.009995637461543083,0.3757895231246948,0.30344370007514954
47,242.22201538085938,216.1186158657074,-0.013635185547173023,0.47308987379074097,0.36019769310951233
48,240.88479614257812,242.71729588508606,-0.04237864539027214,0.4704781174659729,0.40452882647514343
49,240.38177490234375,238.16834092140198,-0.03791888430714607,0.46949565410614014,0.3969472348690033
50,203.53021240234375,236.19167804718018,0.010786986909806728,0.39751994609832764,0.3936527967453003
51,259.31829833984375,227.4791121482849,-0.078933946788311,0.5064810514450073,0.37913185358047485
52,210.4997100830078,173.4074056148529,-0.018279340118169785,0.41113224625587463,0.2890123426914215
53,199.47531127929688,176.5905261039734,-0.0057202535681426525,0.3896002173423767,0.2943175435066223
54,183.9647979736328,155.51571249961853,0.0565866194665432,0.3593062460422516,0.2591928541660309
55,247.70033264160156,178.13000679016113,-0.03051549382507801,0.48378971219062805,0.29688334465026855
56,235.79226684570312,182.60446786880493,0.00025423415354453027,0.4605317711830139,0.30434077978134155
57,225.26683044433594,280.1044285297394,0.010293327271938324,0.43997427821159363,0.4668407142162323
58,185.6284942626953,273.4527826309204,0.14901508390903473,0.3625556528568268,0.4557546377182007
59,246.94967651367188,246.9667375087738,-0.035859644412994385,0.4823235869407654,0.4116112291812897
60,253.57650756835938,249.2797315120697,-0.03726542368531227,0.4952666163444519,0.41546621918678284
61,232.3952178955078,280.62105774879456,0.008341415785253048,0.4538969099521637,0.4677017629146576
62,234.4332733154297,280.3860068321228,0.0036715753376483917,0.4578774869441986,0.46731001138687134
63,194.99693298339844,171.78583145141602,0.0015501956222578883,0.3808533847332001,0.28630971908569336
